Site;PlotID;Treatment; Agrostis capillaris;Anthoxanthum odoratum;Avenella flexuosa;Carex leporina;Carex vaginata;Deschampsia cespitosa;Festuca ovina;Festuca rubra;Luzula multiflora;Phleum alpinum;Poa pratensis;Achillea millefolium;Alchemilla sp.;Bistorta vivipara;Campanula rotundifolia;Potentilla erecta;Ranunculus acris;Trifolium repens;Trifolium prantense;Veronica chamaedrys;Veronica officinale;Viola palustris;Viola riviana;Taraxacum sp.;Rumex acetosa;Filipendula ulmaria;Viola sp.?;Ranunculus repens;Stellaria gramminea;Rubus idaeus;Hypericm maculatum;Knautia arvensis;Myrtilus vitis-idea;Carex pirulifera;Potentilla crantzi;Veronica alpina;Galium uliginosum;Pimpinella saxifraga;Rubus  idaeus;Euphrasia sp.;Vac. Vitis-idea;Poa sp.;Festuca vivipara;Carex sp. ;Carex capillaris;Carex bigelowii;Empetrum nigrum;Trientalis europea;Cerastium sp.;Nardus stricta;Leontodon autumnalis;Carex novergica;Carex small bigelowii;Carex yellow;Poa alpina;Thalicrum alpinum;Parnasia palustris;Vac. Uliginosum;T. cespitosum;S. aizoides;C. nigra;Salix herbaceae;Salix reticulata;Saxifraga oppositifolia;Solidago virgaurea;Dryas  octopetala;Tofielda pusilla;Antenaria dioica;Pinguicula vulgaris;E. hirsutum;Poa annua;Sausurea alpina;Parnasia pallustris
Hogsete;H3Cage3;Cage;14;40;0;0;0;0;4;0;0;0;0;6;0;0;0;10;0;8;0;7;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hogsete;H1C3;Control;5;15;0;0;0;F;0;40;1;0;0;0;0;0;0;20;4;15;0;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hogsete;H2C3;Control;6;20;0;0;0;0;0;0;0;0;1;6;1;0;0;3;1;14;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hogsete;H3C3;Control;20;30;0;0;0;0;0;4;1;0;0;1;0;0;0;20;1;8;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Joesete;J1Cage;Cage;3;1;40;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;4;0;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Joesete;J2Cage;Cage;30;0;50;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;10;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Joesete;J3Cage;Cage;1;0;35;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Joesete;J1C;Control;6;0;25;0;0;0;3;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Joesete;J2C;Control;0;20;15;0;0;2;0;0;1;0;4;0;10;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;4;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Joesete;J3C;Control;8;2;60;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Joesete;J1CageP;Cage;1;0;0;0;0;2;0;0;0;0;10;0;20;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Joesete;J2CageP;Cage;0;0;4;1;0;3;0;0;0;1;0;0;0;0;0;4;0;3;0;0;0;0;0;0;40;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;8;0;9;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Joesete;J3CageP;Cage;0;0;40;0;0;3;0;0;0;3;3;4;0;0;0;0;0;0;0;0;0;2;0;0;45;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Joesete;J1CP;Control;4;0;1;0;0;3;0;0;0;3;0;4;1;0;0;0;0;9;0;0;0;0;0;0;60;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;8;0;1;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Joesete;J2CP;Control;2;0;25;0;1;2;0;0;0;2;0;0;25;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Joesete;J3CP;Control;0;0;4;0;0;3;0;0;0;3;2;2;2;0;0;0;0;3;0;0;0;1;0;0;20;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;25;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Joesete;J1Cage2;Cage;15;0;0;0;0;20;0;0;0;2;10;0;0;0;0;0;8;0;0;0;0;3;0;0;20;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;6;0;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Joesete;J2Cage2;Cage;25;0;0;0;0;20;0;0;0;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Joesete;J3Cage2;Cage;20;0;0;0;0;3;0;0;0;3;20;0;0;0;0;0;0;0;0;0;0;7;0;0;30;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;40;0;0;0;0;6;0;1;0;0;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Joesete;J1C2;Control;20;0;0;0;0;1;0;0;0;6;8;1;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Joesete;J2C2;Control;40;0;0;0;0;6;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;4;0;1;0;0;0;2;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Joesete;J3C2;Control;40;0;4;0;0;8;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;3;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
In Between;B1Cage;Cage;0;1;0;0;0;8;2;0;0;1;1;0;6;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;2;0;1;0;50;3;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
In Between;B2Cage;Cage;0;2;0;0;0;3;0;0;0;0;1;0;0;3;0;0;3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;8;0;0;0;80;2;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
In Between;B3Cage;Cage;0;2;0;0;3;5;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;67;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
In Between;B1C;Control;0;2;0;0;0;5;4;0;0;0;1;0;1;3;0;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;6;0;0;0;60;3;0;1;0;0;8;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
In Between;B2C;Control;0;1;0;0;0;2;0;0;0;1;1;0;3;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;0;0;0;40;4;0;0;0;0;12;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
In Between;B3C;Control;0;1;0;0;1;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
In Between;B1CageP;Cage;0;0;0;0;1;2;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;4;15;0;0;0;60;3;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
In Between;B2CageP;Cage;0;0;0;0;2;1;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;13;0;0;0;45;2;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
In Between;B3CageP;Cage;0;1;0;0;1;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
In Between;B1CP;Control;0;1;0;0;4;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;8;0;0;0;60;2;0;0;0;0;4;0;0;5;0;1;20;0;0;0;0;0;0;0;0;0;0;0
In Between;B2CP;Control;0;2;0;0;1;2;2;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
In Between;B3CP;Control;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liahovden;L1Cage;Cage;0;0;0;0;0;1;0;3;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;8;0;0;0;0;0;0;0;0;2;20;0;0;0;5;1;4;1;1;2;0;0;0;0;0;0;0;0
Liahovden;L2Cage;Cage;1;1;1;0;0;0;0;3;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;20;1;1;1;0;0;0;0;0;0;0;4;15;2;0;0;1;0;1;0;0;3;1;0;0;0;0;0;0;0
Liahovden;L3Cage;Cage;0;1;0;0;0;1;0;2;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;20;1;0;0;0;0;0;0;0;0;0;2;12;0;0;0;6;0;3;0;0;0;1;0;0;0;0;0;0;0
Liahovden;L1C;Control;0;0;0;0;0;2;0;2;0;0;0;0;4;8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;20;1;1;0;0;0;0;0;0;0;2;15;0;0;0;2;0;10;10;0;1;0;1;0;0;0;0;0;0
Liahovden;L2C;Control;0;2;0;0;0;0;0;4;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;40;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;1;3;2;2;0;1;0;0;0;0;0;0;0;0
Liahovden;L3C;Control;0;0;0;0;0;0;0;3;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;1;0;0;0;10;0;1;3;0;0;0;0;0;0;0;2;6;0;0;0;30;0;2;0;0;0;1;0;0;1;0;0;0;0
Liahovden;L1Cage2;Cage;0;0;10;0;2;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;3;0;0;0;0;4;0;0;0;2;6;0;0;0;4;0;5;0;0;0;0;0;0;0;1;0;0;0
Liahovden;L2Cage2;Cage;0;0;30;0;3;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;15;0;3;0;0;15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0
Liahovden;L3Cage2;Cage;0;0;30;0;3;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;9;0;4;0;3;18;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0
Liahovden;L1C2;Control;0;0;3;0;6;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;0;0;0;0;5;0;0;0;2;4;0;0;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0
Liahovden;L2C2;Control;0;0;4;0;3;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;1;1;0;0;0;3;0;0;0;2;30;0;3;0;0;0;0;10;0;0;0;0;0;1;0;0;1;1
Liahovden;L3C2;Control;0;0;4;0;1;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;1;0;0;9;0;0;0;0;20;1;1;0;1;0;10;1;0;0;0;0;0;0;0;0;3;0
Liahovden;L1CageP;Cage;0;2;6;0;2;2;0;0;0;0;0;0;3;10;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;8;0;0;0;3;20;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;16;0
Liahovden;L2CageP;Cage;0;1;0;0;4;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;60;6;0;0;0;0;20;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Liahovden;L3CageP;Cage;0;1;2;0;2;0;0;0;0;1;0;0;4;8;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;1;0;0;0;4;0;0;0;0;18;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
Liahovden;L1CP;Control;0;0;25;0;3;0;0;0;0;0;0;0;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;18;0;0;0;2;0;4;0;0;0;0;0;0;0;0;2;2;0
Liahovden;L2CP;Control;0;2;2;0;1;0;0;0;0;0;0;3;2;6;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;0;0;0;50;4;0;0;0;2;20;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Liahovden;L3CP;Control;0;0;15;0;2;0;0;0;0;0;0;0;3;8;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;0;0;2;4;0;0;0;2;15;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;2;1
